ligand,affinity
ZINC000013911941,-6.7
ZINC000014879972,-6.7
ZINC000016159083,-6.7
ZINC000018324776,-6.7
ZINC000018516586,-6.7
ZINC000019796168,-6.7
ZINC000053683345,-6.7
ZINC000058581064,-6.7
ZINC000068153186,-6.7
ZINC000084441937,-6.7
ZINC000100015048,-6.7
ZINC000000000323,-6.6
ZINC000000006157,-6.6
ZINC000000537891,-6.6
ZINC000000538273,-6.6
ZINC000000606383,-6.6
ZINC000000896543,-6.6
ZINC000001530638,-6.6
ZINC000001539579,-6.6
ZINC000001851149,-6.6
ZINC000001996784,-6.6
ZINC000002522669,-6.6
ZINC000003782818,-6.6
ZINC000003802417,-6.6
ZINC000003812865,-6.6
ZINC000003812989,-6.6
ZINC000003820029,-6.6
ZINC000003833821,-6.6
ZINC000003914808,-6.6
ZINC000003916214,-6.6
ZINC000003920266,-6.6
ZINC000003920657,-6.6
ZINC000003938482,-6.6
ZINC000003986735,-6.6
ZINC000004074875,-6.6
ZINC000005764759,-6.6
ZINC000013540519,-6.6
ZINC000016052277,-6.6
ZINC000034089131,-6.6
ZINC000034608502,-6.6
ZINC000053084692,-6.6
ZINC000094566092,-6.6
ZINC000095619105,-6.6
ZINC000150338698,-6.6
ZINC000000000655,-6.5
ZINC000000001148,-6.5
ZINC000000001261,-6.5
ZINC000000002688,-6.5
ZINC000000003876,-6.5
ZINC000000004319,-6.5
ZINC000000004785,-6.5
ZINC000000020253,-6.5
ZINC000000057255,-6.5
ZINC000000121541,-6.5
ZINC000000403011,-6.5
ZINC000000537795,-6.5
ZINC000000601301,-6.5
ZINC000000897251,-6.5
ZINC000000897408,-6.5
ZINC000001552174,-6.5
ZINC000001886617,-6.5
ZINC000003805768,-6.5
ZINC000003812983,-6.5
ZINC000003875439,-6.5
ZINC000003913937,-6.5
ZINC000003914809,-6.5
ZINC000003914810,-6.5
ZINC000003944422,-6.5
ZINC000003955219,-6.5
ZINC000004097343,-6.5
ZINC000007997897,-6.5
ZINC000012661824,-6.5
ZINC000014210876,-6.5
ZINC000014879992,-6.5
ZINC000019632668,-6.5
ZINC000019796080,-6.5
ZINC000021981454,-6.5
ZINC000022065398,-6.5
ZINC000030690433,-6.5
ZINC000030691754,-6.5
ZINC000040899447,-6.5
ZINC000043100953,-6.5
ZINC000084757007,-6.5
ZINC000095626706,-6.5
ZINC000100006264,-6.5
ZINC000100013130,-6.5
ZINC000000000903,-6.4
ZINC000000538621,-6.4
ZINC000000601250,-6.4
ZINC000001489478,-6.4
ZINC000001540998,-6.4
ZINC000001850376,-6.4
ZINC000001853205,-6.4
ZINC000001895505,-6.4
ZINC000003787097,-6.4
ZINC000003801163,-6.4
ZINC000003807172,-6.4
ZINC000003807804,-6.4
ZINC000003812984,-6.4
ZINC000003819138,-6.4
ZINC000003831490,-6.4
ZINC000003833846,-6.4
ZINC000003861599,-6.4
ZINC000003873936,-6.4
ZINC000003875980,-6.4
ZINC000003917708,-6.4
ZINC000003938684,-6.4
ZINC000003938746,-6.4
ZINC000003940470,-6.4
ZINC000003992105,-6.4
ZINC000003995807,-6.4
ZINC000004097344,-6.4
ZINC000004097427,-6.4
ZINC000006467621,-6.4
ZINC000011616925,-6.4
ZINC000012503068,-6.4
ZINC000013682481,-6.4
ZINC000019418959,-6.4
ZINC000028957444,-6.4
ZINC000043200832,-6.4
ZINC000053229445,-6.4
ZINC000068247389,-6.4
ZINC000100016084,-6.4
ZINC000100296828,-6.4
ZINC000253530025,-6.4
ZINC000000000347,-6.3
ZINC000000001850,-6.3
ZINC000000002212,-6.3
ZINC000000002272,-6.3
ZINC000000003911,-6.3
ZINC000000004076,-6.3
ZINC000000004724,-6.3
ZINC000000004840,-6.3
ZINC000000005560,-6.3
ZINC000000006310,-6.3
ZINC000000016154,-6.3
ZINC000000599734,-6.3
ZINC000000607971,-6.3
ZINC000000968326,-6.3
ZINC000001319780,-6.3
ZINC000001530688,-6.3
ZINC000001530922,-6.3
ZINC000001530981,-6.3
ZINC000002510358,-6.3
ZINC000003800008,-6.3
ZINC000003813083,-6.3
ZINC000003830986,-6.3
ZINC000003842753,-6.3
ZINC000003882036,-6.3
ZINC000003918453,-6.3
ZINC000003938704,-6.3
ZINC000003943279,-6.3
ZINC000003964325,-6.3
ZINC000003976838,-6.3
ZINC000003993846,-6.3
ZINC000004083606,-6.3
ZINC000004097383,-6.3
ZINC000004099008,-6.3
ZINC000004212945,-6.3
ZINC000005733652,-6.3
ZINC000006858022,-6.3
ZINC000013537284,-6.3
ZINC000013831141,-6.3
ZINC000013986658,-6.3
ZINC000014164617,-6.3
ZINC000014263142,-6.3
ZINC000019156872,-6.3
ZINC000019362737,-6.3
ZINC000034051848,-6.3
ZINC000034220093,-6.3
ZINC000035342789,-6.3
ZINC000051133897,-6.3
ZINC000052509463,-6.3
ZINC000095616599,-6.3
ZINC000095616601,-6.3
ZINC000096006009,-6.3
ZINC000096272772,-6.3
ZINC000100018854,-6.3
ZINC000100036536,-6.3
ZINC000000000128,-6.2
ZINC000000000416,-6.2
ZINC000000000449,-6.2
ZINC000000001331,-6.2
ZINC000000005151,-6.2
ZINC000000005823,-6.2
ZINC000000020220,-6.2
ZINC000000402830,-6.2
ZINC000000538483,-6.2
ZINC000000596881,-6.2
ZINC000000597013,-6.2
ZINC000000601316,-6.2
ZINC000000608382,-6.2
ZINC000000968257,-6.2
ZINC000000968273,-6.2
ZINC000000968274,-6.2
ZINC000000968301,-6.2
ZINC000001530741,-6.2
ZINC000001530761,-6.2
ZINC000001536109,-6.2
ZINC000002008310,-6.2
ZINC000002016037,-6.2
ZINC000003775644,-6.2
ZINC000003798734,-6.2
ZINC000003812306,-6.2
ZINC000003830579,-6.2
ZINC000003831165,-6.2
ZINC000003831404,-6.2
ZINC000003831405,-6.2
ZINC000003872566,-6.2
ZINC000003873295,-6.2
ZINC000003873921,-6.2
ZINC000003920027,-6.2
ZINC000003931840,-6.2
ZINC000003964126,-6.2
ZINC000003995809,-6.2
ZINC000003995811,-6.2
ZINC000004392649,-6.2
ZINC000004655029,-6.2
ZINC000005456939,-6.2
ZINC000013512456,-6.2
