ligand,affinity
ZINC000003871960,-5.2
ZINC000003872277,-5.2
ZINC000003875368,-5.2
ZINC000003876069,-5.2
ZINC000003927198,-5.2
ZINC000003927870,-5.2
ZINC000004215234,-5.2
ZINC000008214692,-5.2
ZINC000012466082,-5.2
ZINC000016929327,-5.2
ZINC000019166991,-5.2
ZINC000019364230,-5.2
ZINC000019632718,-5.2
ZINC000035999642,-5.2
ZINC000096942201,-5.2
ZINC000100001964,-5.2
ZINC000242437511,-5.2
ZINC000242437514,-5.2
ZINC000252678020,-5.2
ZINC000000000122,-5.1
ZINC000000000746,-5.1
ZINC000000001115,-5.1
ZINC000000001408,-5.1
ZINC000000001958,-5.1
ZINC000000002159,-5.1
ZINC000000012346,-5.1
ZINC000000020231,-5.1
ZINC000000056427,-5.1
ZINC000000057340,-5.1
ZINC000000075008,-5.1
ZINC000000389149,-5.1
ZINC000000538627,-5.1
ZINC000000591993,-5.1
ZINC000000968303,-5.1
ZINC000001482184,-5.1
ZINC000001530599,-5.1
ZINC000001530718,-5.1
ZINC000001530862,-5.1
ZINC000001530930,-5.1
ZINC000001530951,-5.1
ZINC000001535101,-5.1
ZINC000001543916,-5.1
ZINC000001554010,-5.1
ZINC000002019954,-5.1
ZINC000002561203,-5.1
ZINC000003794711,-5.1
ZINC000003798247,-5.1
ZINC000003830264,-5.1
ZINC000003861768,-5.1
ZINC000003875342,-5.1
ZINC000003918138,-5.1
ZINC000003972949,-5.1
ZINC000004102194,-5.1
ZINC000004228257,-5.1
ZINC000005819214,-5.1
ZINC000012358719,-5.1
ZINC000017285869,-5.1
ZINC000017285872,-5.1
ZINC000018099446,-5.1
ZINC000018203737,-5.1
ZINC000022010379,-5.1
ZINC000095616603,-5.1
ZINC000000000061,-5
ZINC000000000215,-5
ZINC000000000373,-5
ZINC000000000469,-5
ZINC000000001505,-5
ZINC000000001673,-5
ZINC000000001792,-5
ZINC000000001979,-5
ZINC000000002101,-5
ZINC000000008492,-5
ZINC000000033882,-5
ZINC000000057146,-5
ZINC000000074836,-5
ZINC000000643046,-5
ZINC000000896698,-5
ZINC000000896711,-5
ZINC000001482164,-5
ZINC000001530555,-5
ZINC000001530570,-5
ZINC000001530575,-5
ZINC000001530613,-5
ZINC000001530635,-5
ZINC000001530717,-5
ZINC000001530762,-5
ZINC000001530776,-5
ZINC000002847375,-5
ZINC000003812913,-5
ZINC000003813088,-5
ZINC000003823492,-5
ZINC000003830713,-5
ZINC000003831332,-5
ZINC000003831429,-5
ZINC000003874950,-5
ZINC000003929508,-5
ZINC000003930376,-5
ZINC000003953037,-5
ZINC000006409735,-5
ZINC000008214703,-5
ZINC000011680943,-5
ZINC000012503177,-5
ZINC000013545634,-5
ZINC000013597823,-5
ZINC000022010375,-5
ZINC000036294079,-5
ZINC000096942202,-5
ZINC000100005670,-5
ZINC000100019007,-5
ZINC000000020228,-4.9
ZINC000000056568,-4.9
ZINC000000097996,-4.9
ZINC000000105196,-4.9
ZINC000000113355,-4.9
ZINC000000596731,-4.9
ZINC000000895154,-4.9
ZINC000001482197,-4.9
ZINC000001530567,-4.9
ZINC000001530600,-4.9
ZINC000001530621,-4.9
ZINC000001542002,-4.9
ZINC000001543475,-4.9
ZINC000001698306,-4.9
ZINC000002019953,-4.9
ZINC000003781664,-4.9
ZINC000003794794,-4.9
ZINC000003812933,-4.9
ZINC000003830449,-4.9
ZINC000003929022,-4.9
ZINC000003979899,-4.9
ZINC000004095696,-4.9
ZINC000004258316,-4.9
ZINC000004393164,-4.9
ZINC000004468778,-4.9
ZINC000004474603,-4.9
ZINC000006845963,-4.9
ZINC000008403947,-4.9
ZINC000012468792,-4.9
ZINC000013973998,-4.9
ZINC000019632633,-4.9
ZINC000021982937,-4.9
ZINC000043194409,-4.9
ZINC000000000506,-4.8
ZINC000000000922,-4.8
ZINC000000001317,-4.8
ZINC000000001554,-4.8
ZINC000000001688,-4.8
ZINC000000002055,-4.8
ZINC000000049153,-4.8
ZINC000000057062,-4.8
ZINC000001482094,-4.8
ZINC000001530713,-4.8
ZINC000001530811,-4.8
ZINC000001531009,-4.8
ZINC000003831430,-4.8
ZINC000006382803,-4.8
ZINC000007997568,-4.8
ZINC000008035268,-4.8
ZINC000009302239,-4.8
ZINC000013550868,-4.8
ZINC000013585233,-4.8
ZINC000018043251,-4.8
ZINC000018115268,-4.8
ZINC000019632713,-4.8
ZINC000084843283,-4.8
ZINC000085540215,-4.8
ZINC000085540223,-4.8
ZINC000100001965,-4.8
ZINC000000000353,-4.7
ZINC000000000490,-4.7
ZINC000000001341,-4.7
ZINC000000001982,-4.7
ZINC000000020259,-4.7
ZINC000000085733,-4.7
ZINC000000395010,-4.7
ZINC000000538283,-4.7
ZINC000000896663,-4.7
ZINC000000896918,-4.7
ZINC000001530950,-4.7
ZINC000002005550,-4.7
ZINC000003651680,-4.7
ZINC000003830441,-4.7
ZINC000003830947,-4.7
ZINC000003830958,-4.7
ZINC000003830960,-4.7
ZINC000004474564,-4.7
ZINC000004978673,-4.7
ZINC000006021043,-4.7
ZINC000008214418,-4.7
ZINC000008466459,-4.7
ZINC000012859773,-4.7
ZINC000022010382,-4.7
ZINC000022056030,-4.7
ZINC000085540219,-4.7
ZINC000000000053,-4.6
ZINC000000002176,-4.6
ZINC000000020257,-4.6
ZINC000000057341,-4.6
ZINC000000391812,-4.6
ZINC000000403609,-4.6
ZINC000000896666,-4.6
ZINC000001530701,-4.6
ZINC000001530728,-4.6
ZINC000001532525,-4.6
ZINC000003785268,-4.6
ZINC000003830959,-4.6
ZINC000003872520,-4.6
ZINC000006021033,-4.6
ZINC000006036847,-4.6
ZINC000012503076,-4.6
ZINC000022851765,-4.6
ZINC000033965961,-4.6
ZINC000052971887,-4.6
ZINC000000001132,-4.5
ZINC000000001644,-4.5
ZINC000000057147,-4.5
ZINC000000394284,-4.5
ZINC000001481910,-4.5
ZINC000001532179,-4.5
ZINC000001533877,-4.5
ZINC000001639567,-4.5
ZINC000001883067,-4.5
ZINC000003776875,-4.5
ZINC000003785276,-4.5
ZINC000003787060,-4.5
ZINC000003830347,-4.5
ZINC000003830957,-4.5
ZINC000004640636,-4.5
ZINC000008214629,-4.5
ZINC000008214635,-4.5
ZINC000012503151,-4.5
ZINC000013545636,-4.5
ZINC000035024346,-4.5
ZINC000000049154,-4.4
ZINC000000388462,-4.4
ZINC000000967566,-4.4
ZINC000001530303,-4.4
ZINC000001530569,-4.4
ZINC000001530736,-4.4
ZINC000001530737,-4.4
ZINC000001530805,-4.4
ZINC000001530806,-4.4
ZINC000001530810,-4.4
ZINC000001531008,-4.4
ZINC000001846431,-4.4
ZINC000002539702,-4.4
ZINC000003830891,-4.4
ZINC000004097392,-4.4
ZINC000004097426,-4.4
ZINC000008214651,-4.4
ZINC000053022902,-4.4
ZINC000100007011,-4.4
ZINC000000000905,-4.3
ZINC000000001011,-4.3
ZINC000000001084,-4.3
ZINC000000001798,-4.3
ZINC000000002009,-4.3
ZINC000000005878,-4.3
ZINC000000113446,-4.3
ZINC000000896546,-4.3
ZINC000000967520,-4.3
ZINC000000968256,-4.3
ZINC000000968345,-4.3
ZINC000001530283,-4.3
ZINC000001531036,-4.3
ZINC000003830961,-4.3
ZINC000003830990,-4.3
ZINC000004097476,-4.3
ZINC000013298313,-4.3
ZINC000038140873,-4.3
ZINC000043763856,-4.3
ZINC000100071256,-4.3
ZINC000000002028,-4.2
ZINC000000005152,-4.2
ZINC000000010164,-4.2
ZINC000000895302,-4.2
ZINC000000967521,-4.2
ZINC000001532526,-4.2
ZINC000001554392,-4.2
ZINC000003813042,-4.2
ZINC000003830569,-4.2
ZINC000004577910,-4.2
ZINC000005133329,-4.2
ZINC000005133378,-4.2
ZINC000008214614,-4.2
ZINC000012503156,-4.2
ZINC000018089317,-4.2
ZINC000022016981,-4.2
ZINC000022059268,-4.2
ZINC000100009383,-4.2
ZINC000100061056,-4.2
ZINC000000001706,-4.1
ZINC000000006226,-4.1
ZINC000000010163,-4.1
ZINC000000897244,-4.1
ZINC000001547851,-4.1
ZINC000003008621,-4.1
ZINC000004658290,-4.1
ZINC000006661227,-4.1
ZINC000006920384,-4.1
ZINC000008437287,-4.1
ZINC000019364219,-4.1
ZINC000019419017,-4.1
ZINC000022016976,-4.1
ZINC000038212689,-4.1
ZINC000100006770,-4.1
ZINC000100299039,-4.1
ZINC000000000882,-4
ZINC000000001795,-4
ZINC000000002005,-4
ZINC000000403618,-4
ZINC000001529425,-4
ZINC000001530710,-4
ZINC000001530820,-4
ZINC000001843047,-4
ZINC000003798750,-4
ZINC000003801919,-4
ZINC000003830276,-4
ZINC000003830387,-4
ZINC000014881137,-4
ZINC000000000711,-3.9
ZINC000000004949,-3.9
ZINC000000057001,-3.9
ZINC000000388081,-3.9
ZINC000001530572,-3.9
ZINC000001532522,-3.9
ZINC000001849548,-3.9
ZINC000003645145,-3.9
ZINC000003782550,-3.9
ZINC000003812862,-3.9
ZINC000006845860,-3.9
ZINC000000000083,-3.8
ZINC000000895457,-3.8
ZINC000001554588,-3.8
ZINC000003581355,-3.8
ZINC000008214625,-3.8
ZINC000000113442,-3.7
ZINC000000599985,-3.7
ZINC000000901736,-3.7
ZINC000001482113,-3.7
ZINC000003079340,-3.7
ZINC000003079342,-3.7
ZINC000003589203,-3.7
ZINC000003803652,-3.7
ZINC000019363537,-3.7
ZINC000019364242,-3.7
ZINC000022447798,-3.7
ZINC000000155905,-3.6
ZINC000000895081,-3.6
ZINC000000895099,-3.6
ZINC000000895103,-3.6
ZINC000003830314,-3.6
ZINC000003831551,-3.6
ZINC000003843378,-3.6
ZINC000008034120,-3.6
ZINC000019364225,-3.6
ZINC000100070937,-3.6
ZINC000000895360,-3.5
ZINC000000896409,-3.5
ZINC000000897288,-3.5
ZINC000000901791,-3.5
ZINC000001532805,-3.5
ZINC000000901061,-3.4
ZINC000001532529,-3.4
ZINC000003079336,-3.4
ZINC000003831050,-3.4
ZINC000003831051,-3.4
ZINC000004658553,-3.4
ZINC000004658560,-3.4
ZINC000000114127,-3.3
ZINC000000895032,-3.3
ZINC000000895048,-3.3
ZINC000000896695,-3.3
ZINC000001187543,-3.3
ZINC000003830813,-3.3
ZINC000008015016,-3.3
ZINC000000895316,-3.2
ZINC000008101126,-3.2
ZINC000034676245,-3.2
ZINC000000114124,-3.1
ZINC000004658562,-3.1
ZINC000008214514,-3.1
ZINC000000895034,-3
ZINC000000895318,-3
ZINC000003831477,-3
ZINC000086040406,-3
ZINC000000901159,-2.9
ZINC000001530427,-2.9
ZINC000001532517,-2.9
ZINC000003831474,-2.9
ZINC000004658603,-2.9
ZINC000006827693,-2.9
ZINC000006827695,-2.9
ZINC000008101109,-2.9
ZINC000000895042,-2.8
ZINC000003831475,-2.8
ZINC000004658552,-2.8
ZINC000004658557,-2.8
ZINC000003079337,-2.7
ZINC000000901552,-2.6
ZINC000000901555,-2.6
ZINC000001532728,-2.6
ZINC000003809490,-2.6
ZINC000008034121,-2.4
ZINC000003831040,-2.3
ZINC000008214573,-2
ZINC000005224188,-1.8
